시설명,카테고리,시군구,위도,경도
1004 약국,동물약국,고양시,37.64454276,126.886336
100세건강약국,동물약국,안양시,37.40715043,126.914837
100세약국,동물약국,수원시,37.27627151,127.030911
100평 광장약국,동물약국,의정부시,37.75195739,127.049286
21세기 동규약국,동물약국,오산시,37.146604,127.068648
21세기 세계로약국,동물약국,성남시,37.44475147,127.158591
21세기 약국,동물약국,광명시,37.47450425,126.866592
21세기 정약국,동물약국,수원시,37.25596473,127.011044
21세기새롬약국,동물약국,고양시,37.63522599,126.831888
21c청학보건당,동물약국,남양주시,37.7086949,127.118397
24시 당신의 동물의료센터,동물병원,수원시,37.30062503,126.983998
24시 더케어 동물의료센터,동물병원,구리시,37.60332974,127.147316
24시 동탄 이음동물의료센터,동물병원,화성시,37.16873878,127.108433
24시 라움동물의료센터,동물병원,평택시,36.99887465,127.114167
24시 라인동물의료센터,동물병원,고양시,37.65267981,126.896113
24시 멍냥마켓 파장점,반려동물용품,수원시,37.30752086,126.991039
24시 모두의동물병원,동물병원,광명시,37.4616896,126.880189
24시 모란동물 메디컬센터,동물병원,광주시,37.39940493,127.273675
24시 무인 애완용품 펫싸롱 4호점,반려동물용품,의정부시,37.75328223,127.043409
24시 무인 애완용품 펫싸롱 의정부점,반려동물용품,의정부시,37.74353429,127.035937
24시 블레스동물메디컬센터,동물병원,용인시,37.26968181,127.152921
24시 사람앤동물메디컬센터,동물병원,용인시,37.31268393,127.079742
24시 서울YES동물병원,동물병원,용인시,37.33174883,127.118347
24시 숨 동물병원,동물병원,수원시,37.25872973,127.029633
24시 쓰담쓰담 동물메디컬 센터,동물병원,용인시,37.27125211,127.107475
24시 아이동물메디컬센터,동물병원,부천시,37.52567419,126.804557
24시 아프리카동물병원,동물병원,안산시,37.30174884,126.81352
24시 애견미용,미용,부천시,37.48254755,126.788203
24시 양주 힐 동물의료센터,동물병원,양주시,37.82121755,127.097614
24시 온누리동물메디컬센터,동물병원,안산시,37.31915777,126.829878
24시 와이즈 동물메디컬센터,동물병원,하남시,37.55205316,127.20862
24시 웰니스 동물 의료센터,동물병원,부천시,37.49734229,126.775962
24시 위드유 동물의료센터,동물병원,시흥시,37.4365607,126.801609
24시 위드힐동물메디컬센터,동물병원,남양주시,37.65823066,127.125068
24시 이지동물의료센터,동물병원,부천시,37.48483404,126.808916
24시 일산우리 동물의료센터,동물병원,고양시,37.67090741,126.75853
24시 좋은나라애견본부 고양점,반려동물용품,고양시,37.63636322,126.815095
24시 폴 동물병원,동물병원,성남시,37.37056133,127.107512
24시꿈동물병원,동물병원,수원시,37.26324679,127.024704
24시동물병원,동물병원,용인시,37.27910195,127.111018
24시동탄윌동물의료센터,동물병원,화성시,37.20232544,127.071583
24시마음든든동물병원,동물병원,안양시,37.41843093,126.911907
24시멍냥마켓,반려동물용품,수원시,37.27619912,126.939918
24시멍냥마켓 매탄점,반려동물용품,수원시,37.2737207,127.046493
24시배곧스마트동물의료센터,동물병원,시흥시,37.37026025,126.729386
24시분당리더스동물의료원,동물병원,성남시,37.34005352,127.108398
24시스마일동물병원,동물병원,이천시,37.27321474,127.453037
24시쎈텀동물병원,동물병원,김포시,37.59384607,126.763954
24시위드동물병원,동물병원,시흥시,37.34496709,126.738508
24시큰사랑동물병원,동물병원,이천시,37.27531606,127.449676
24시해든동물메디컬센터,동물병원,부천시,37.50126977,126.777251
25시 동물병원,동물병원,성남시,37.45604359,127.162964
25시 종합동물병원,동물병원,오산시,37.149027,127.072204
2층약국,동물약국,안양시,37.36226346,126.962527
2층엔약국,동물약국,남양주시,37.62549445,127.152105
2층푸른약국,동물약국,고양시,37.63626695,126.870344
365 녹십자약국,동물약국,평택시,36.99540937,127.083523
365 신원당 동물병원,동물병원,고양시,37.65444911,126.840398
365굿모닝약국,동물약국,광명시,37.47404179,126.869691
365그린약국,동물약국,성남시,37.35076234,127.108309
365동물병원 분당점,동물병원,성남시,37.34894044,127.110467
365동물병원위례점,동물병원,성남시,37.47349797,127.150174
365동판교동물병원,동물병원,성남시,37.38547568,127.111442
365드림동물약국,동물약국,남양주시,37.65407418,127.2429
365박달온누리약국,동물약국,안양시,37.40276547,126.910619
365밝은약국,동물약국,광명시,37.48035771,126.855167
365세심당약국,동물약국,안성시,37.0052847,127.267452
365약국,동물약국,동두천시,37.89269547,127.053239
365약국,동물약국,하남시,37.56679537,127.189247
365에펠약국,동물약국,하남시,37.5637312,127.191742
365열린약국,동물약국,오산시,37.13674837,127.072748
365열린큰약국,동물약국,용인시,37.31279759,127.081667
365올바른약국,동물약국,안양시,37.39558003,126.9305
365우리약국,동물약국,포천시,37.95747664,127.317846
365조은약국,동물약국,시흥시,37.37353225,126.854765
365종로약국,동물약국,고양시,37.67750362,126.769088
365종로온누리약국,동물약국,남양주시,37.72065011,127.202725
365푸른약국,동물약국,남양주시,37.60117414,127.174405
365행복약국,동물약국,시흥시,37.35119311,126.742914
365행운약국,동물약국,고양시,37.68360562,126.775361
3층 온누리약국,동물약국,용인시,37.27484277,127.118779
3층365약국,동물약국,고양시,37.65758391,126.770856
3층엔 참약국,동물약국,남양주시,37.65410546,127.244118
3층온누리약국,동물약국,부천시,37.48340505,126.776519
3층큰별약국,동물약국,안산시,37.32081608,126.844722
3층행복약국,동물약국,성남시,37.39114116,127.126207
4u동물메디컬센타,동물병원,안산시,37.30902799,126.830635
5층약국,동물약국,부천시,37.50513416,126.753732
5층우리약국,동물약국,용인시,37.32461943,127.097592
9시약국,동물약국,부천시,37.51959711,126.805155
가까운 광명약국,동물약국,광명시,37.42421462,126.887063
가까운 대학약국,동물약국,이천시,37.28300695,127.435301
가까운 정문약국,동물약국,안성시,37.01654735,127.261271
가까운 태평양약국,동물약국,성남시,37.44372983,127.139111
가까운약국,동물약국,고양시,37.64485074,126.792083
가까운약국,동물약국,이천시,37.11549809,127.611698
가까운온누리약국,동물약국,안산시,37.31280365,126.829294
가까운정문약국,동물약국,의정부시,37.75112784,127.049571
가나동물병원(경기 부천),동물병원,부천시,37.48354558,126.76318
가나동물병원(경기 성남시),동물병원,성남시,37.44248387,127.137835
가나안약국,동물약국,부천시,37.48681784,126.783557
가나약국,동물약국,고양시,37.67064192,126.759159
가나약국,동물약국,하남시,37.5574071,127.187998
가나약국,동물약국,용인시,37.29558802,127.15215
가남프라자약국,동물약국,여주시,37.20405664,127.544575
가능동물병원,동물병원,의정부시,37.74674875,127.03511
가능하주약국,동물약국,의정부시,37.74285173,127.029018
가든블루,펜션,포천시,38.04364239,127.374561
가또블랑코,반려동물용품,김포시,37.71490192,126.635597
가람동물병원(경기 고양),동물병원,고양시,37.65472123,126.777733
가람동물병원(경기 구리),동물병원,구리시,37.60473866,127.139722
가람동물병원(경기 김포),동물병원,김포시,37.66663738,126.637
가람동물병원(경기 부천),동물병원,부천시,37.48345272,126.810382
가람약국,동물약국,김포시,37.60004625,126.771102
가람약국,동물약국,고양시,37.66914144,126.749558
가람약국,동물약국,남양주시,37.60610704,127.157231
가람펫,미용,광주시,37.41631382,127.259596
가림약국,동물약국,부천시,37.49977059,126.769407
가야 애견용품할인마트,반려동물용품,수원시,37.26923345,127.009364
가야동물병원,동물병원,부천시,37.4905988,126.783894
가야동물병원,동물병원,수원시,37.26923345,127.009364
가온약국,동물약국,고양시,37.61822061,126.846093
가온온누리약국,동물약국,파주시,37.72367086,126.753212
가운이층약국,동물약국,남양주시,37.60460873,127.15564
